,name,desc,score,c_score,price,category,accessibility,schedule,web,search_parameters,phone,address,lat,lon
127,Parque La pastora,"Información  Accesibilidad

Entrada accesible para personas en silla de ruedas
    Servicios

Columpios
    Menores

Área de juegos

Ideal para ir con niños
    Mascotas

Se permiten perros",4.5,97.0,,Parque,Accesible con silla de ruedas,"6 .,None",,Comuna Buenos Aires Parques,,"Bombona II, Medellín, Buenos Aires, Medellín, Antioquia",6.2301495,-75.543117
128,Agreste,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",2.3,3.0,,Restaurante de comida rápida,,,https://instagram.com/agresterestaurante?igshid=nvfcsobwn74o,Comuna Buenos Aires Comida rápida,,"Cl. 41 #30-19, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2354523,-75.5561048
129,Al Punto Fast Food,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.3,6.0,,Restaurante de comida rápida,,,https://www.facebook.com/Al-PUNTO-358348227893411/?_rdr,Comuna Buenos Aires Comida rápida,(604) 2393081 ,"Cra. 32 #45-07, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2389143,-75.5558681
130,Comidas Rápidas La Zona 45,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo

Cena
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.1,19.0,,Restaurante de comida rápida,,,,Comuna Buenos Aires Comida rápida,314 7646781 ,"Cl. 45 #3, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2382367,-75.555081
131,comidas rapidas donde may,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Agradable

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",3.8,6.0,,Restaurante,,,,Comuna Buenos Aires Comida rápida,300 7721918 ,"Cra. 28a #38f_ 143, Gerona, Medellín, Buenos Aires, Medellín, Antioquia",6.2331305,-75.5562442
132,Asados Jara,"Información  Opciones de servicio

Entrega sin contacto

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Almuerzo
    Servicios

Sanitario
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",4.1,16.0,,Restaurante de comida rápida,,"9 .,12 pm.",,Comuna Buenos Aires Comida rápida,301 7569628 ,"Cl. 41 #15, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2354062,-75.5560481
133,+Papas,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Restaurante de comida rápida,,,,Comuna Buenos Aires Comida rápida,314 2292120 ,"Cl. 48 #3251, Caicedo, Medellín, Buenos Aires, Medellín, Antioquia",6.2410539,-75.555162
134,Las Quesudas,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Opciones del local

Cena
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante de comida rápida,,,,Comuna Buenos Aires Comida rápida,300 3995212 ,"Cl. 41 #30-29, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.2354524,-75.5561758
135,Patacones quintalinda,"Información  Opciones de servicio

Retiros en la puerta

Para llevar

Consumo en el lugar
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",,,,Restaurante de comida rápida,,,,Comuna Buenos Aires Comida rápida,310 4232811 ,"Carrera15 #36-03, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia",6.237143,-75.556045
136,Epa la arepa,"Información  Opciones de servicio

Entrega a domicilio

Para llevar

Consumo en el lugar
    Ambiente

Informal
    Público usual

Grupos
    Menores

Ideal para ir con niños",5.0,1.0,,Restaurante de comida rápida,,,http://www.facebook.com/epalaarepa.med,Comuna Buenos Aires Comida rápida,301 7364532 ,"Calle 41, Cra. 29, Medellín, Antioquia",,
